district_name,property_size,property_price,date
فيلا للبيع في شارع محمد علي علان ، حي العارض ، الرياض ، الرياض,250,2300000,2022-01-31
فيلا للبيع في شارع نبيه الانصاري ، حي العارض ، الرياض ، الرياض,400,3200000,unknown
فيلا للبيع في حي الرمال ، الرياض ، الرياض,324,1500000,2022-01-31
فيلا للبيع في حي النرجس ، الرياض ، الرياض,312,2950000,unknown
فيلا للبيع في حي الرمال ، الرياض ، الرياض,225,1250000,2022-01-31
فيلا للبيع في حي الحزم ، الرياض ، الرياض,291,1450000,unknown
فيلا للبيع في شارع صالح بن صديق كمال ، حي طويق ، الرياض ، الرياض,337,1750000,unknown
"فيلا للبيع في شارع ابي بكر الصديق, العارض, الرياض",348,2850000,2022-01-10
فيلا للبيع في حي ، شارع النجمة ، حي الصحافة ، الرياض ، الرياض,600,4450000,unknown
فيلا للبيع في شارع البسالة ، حي المعيزيلة ، الرياض ، الرياض,500,2400000,unknown
فيلا للبيع في طريق النفود ، حي عكاظ ، الرياض ، الرياض,325,1100000,unknown
فيلا للبيع في شارع محمد بن عجلان ، حي مطار الملك خالد الدولي ، الرياض ، الرياض,250,1300000,2022-01-31
فيلا للبيع في شارع الواقدي ، حي النهضة ، الرياض ، الرياض,375,2000000,unknown
فيلا للبيع في شارع زكي محمد حسن ، حي طويق ، الرياض ، الرياض,420,1400000,2022-01-24
فيلا للبيع في شارع المعين ، حي الحزم ، الرياض ، الرياض,312,1400000,unknown
فيلا للبيع في حي عكاظ ، الرياض ، الرياض,325,1160000,unknown
فيلا للبيع في شارع طاهر بن احمد النحوي ، حي طويق ، الرياض ، الرياض,300,1500000,2022-01-29
فيلا للبيع في شارع الامير سعود بن عبدالله بن جلوي ، حي النرجس ، الرياض ، الرياض,300,2500000,unknown
فيلا للبيع في حي العزيزية ، الرياض ، الرياض,312,1250000,unknown
فيلا للبيع في شارع نجم الدين الطوفي ، حي طويق ، الرياض ، الرياض,250,1200000,unknown
فيلا للبيع في شارع احمد الكازرونى ، حي المهدية ، الرياض ، الرياض,200,1430000,2022-01-31
فيلا للبيع في شارع ابي العلاء المعري ، حي الملز ، الرياض ، الرياض,1272,3817500,unknown
فيلا للبيع في شارع محمد علي علان ، حي العارض ، الرياض ، الرياض,250,2300000,2022-01-31
